"","x"
"2638","mantap"
"2639","bagus"
"2640",""""""
"2641","terimakasi"
"2642","ok"
"2643","telkomsel is crazy the lottery from year tapi year has never been won even though sama loyal customer maybe my card has been for more tahan years there has never been an award at all"
"2644","bagus sekali"
"2645","good customers service"
"2646","telkomsel selalu dihati"
"2647","ok"
"2648","pengguna baru prabayar dapat kouta gb cuma rupiahh"
"2649","good"
"2650","terbaik"
"2651","oke"
"2652","sangat mudah untuk digunakan"
"2653","baik banget telkomsel"
"2654","telkomsel jaringan telekomunikasi terbaik untuk indonesia"
"2655","mantab"
"2656","baik banget"
"2657","mantap jiwaaaaaa "
"2658","good"
"2659","sangat bagus"
"2660","semoga dapat"
"2661","nice"
"2662","sangat mudah untuk digunakan"
"2663","lancaaaar"
"2664","oke"
"2665","maaf min kenapa telkomsel sinyal nya batang padahal tower banyak"
"2666","tetap semangat ya apk telkomsel jangan putus asa kalian harus semangat dalam mengembangkan teknologi ya semangat aku dukung kalian kok santay saja jangan dengarkan omongan meraka yang enggak jelas terus lah semangat bikin ejekan meraka sebagai penyemangat oke "
"2667","ok mantap"
"2668",""""""
"2669","praktis"
"2670","don tea"
"2671","good"
"2672","mantabbbbbbb"
"2673","mantap"
"2674","ok"
"2675","infone"
"2676","sangat puas walaupun mati lampu saya masih bisa internetan sambil main games"
"2677","bagus sangat membantu"
"2678","sip"
"2679","best deh"
"2680","mantap"
"2681","kouta gratis terima kasih"
"2682","sangat baik"
"2683","sangat dipermudah urusanya"
"2684","sangat membantu"
"2685","top"
"2686","sempurna"
"2687","okee"
"2688","no komen"
"2689","sangat bagus"
"2690","bagus"
"2691","mantap"
"2692","dapat promo tapi enggak bisa dibeli hadeh bagaimana sih min saya kasih bintang biar ditanggepin"
"2693","sangat baik"
"2694","ok"
"2695","good"
"2696","mantap"
"2697","semoga dapat amin"
"2698","muantap"
"2699","trimakasih telkomsel"
"2700","hebat"
"2701","puasss sekali"
"2702","ini aplikasi sangat bagus"
"2703","mantap bagus"
"2704","sangat membantu sekali"
"2705","peket terlalu mahal"
"2706","ok banget"
"2707","telkomsel jaringan luas"
"2708","good"
"2709","top"
"2710","bagus"
"2711","oke"
"2712","okk"
"2713","sangatpuas"
"2714","goodluck"
"2715","bagus"
"2716",""""""
"2717","my tolkomsel aps yang sangat bagus"
"2718","mantap"
"2719","terima kasih my telkomsel cepat pembelian paketnya dan sedikit lebih murah dari "
"2720","jaringan kurang bagus tingkat kualitas jaringan nya"
"2721","parah jaringan ya makin kesiniparah jir kalau bukan karena malas ganti nomor sudah enggak mau pakai telkomsel jaringan nya parah"
"2722","gud"
"2723","goodgoodgood"
"2724","telkomsel terbaik"
"2725","sangat bagus"
"2726","mantap"
"2727","mantab"
"2728","oke"
"2729","tky"
"2730","tolong ini updatean lagi plis adakan pitur pengunci pulsa seperti axis net agar tidak mengurang pulsa ketika dana di hidupkan"
"2731","sangat sesuai kebutuhan"
"2732","bagus"
"2733","ok"
"2734","good aplication"
"2735","saya suka"
"2736","ok"
"2737","lebih murce"
"2738","mantap"
"2739","mantulll"
"2740","telkomsel memang baik"
"2741","mantap"
"2742","sangat nyaman"
"2743","ok"
"2744","sangat membantu dalam pembelian paket "
"2745","bismillahirrohmanirrohim"
"2746","terbaik"
"2747","bagus"
"2748","op"
"2749","bagus menarik"
"2750","oke"
"2751","berguna"
"2752","mantap pokoknya telkomsel uye"
"2753",""""""
"2754","keren"
"2755","good luck "
"2756","sangat membantu dan mantap"
"2757","keren"
"2758","my telkomsel oke banget"
"2759","lebih berninovasi ter utama jaringannya jangan sampai lemot walaudi daerah terpencilpunsebab di pedesaan saja sering lama logingnya"
"2760","mantap"
"2761","the best"
"2762","sinyal bagus"
"2763","best"
"2764","ok"
"2765","mantap"
"2766","puas dengan pelayanan telkomsel"
"2767","keren"
"2768","mntap bosq"
"2769","ketika jayapura "
"2770","mantap"
"2771","mntaafff"
"2772","saya puas mengunakan mytelkomsel"
"2773","oke"
"2774","sangat puas dan sangat memudahkan"
"2775","bagus"
"2776","apk nya mantapppppppp"
"2777","sangat membantu"
"2778","mantap harga kuota turunin biar kejangkau kalangan menengah kebawah tapi kenapa paket giga net lemot banget ya padahal kuota masih banyak banget tolong dong sinyal dibenahi lagi kay dulu terimakasih"
"2779","oke"
"2780","apk nya bagus banget"
"2781","saya senang"
"2782","sangat terbantu sahabat"
"2783","alhamdulillah dengan memakai my telkomsel sangat memudahkan dalam komunikasi melalui beebagai medsos terimakasih ya my telkomsel mantap jaya selalu"
"2784","oke"
"2785","sering error sering meminta masukan tapi enggak ada perbaikan"
"2786",""""""
"2787","bagus"
"2788","bagus"
"2789","bolehlah"
"2790","puas"
"2791","bagus"
"2792","bagus telkomsel signal kuat"
"2793",""""""
"2794","puas"
"2795","mantaf"
"2796","cukup baik"
"2797","bagus kali"
"2798","undianya enggak pernah dapat"
"2799","aplikasi indatau kok tanya saya"
"2800","bagus"
"2801","maaf min tadi saya kesel ngeleg main game sudah begitu malah nyampleng ke sini maaf banget nih saya kasih bintang nya "
"2802","bagus"
"2803","ok"
"2804","makin lancarprety"
"2805","sangat membantu"
"2806","puas"
"2807","mantap my telkomsel"
"2808","banyak promo dan bonus kuota internet "
"2809","mntap"
"2810","mantap"
"2811","walaupun mendung hujan sinyal mantul"
"2812","sangat membatu"
"2813","terbaik aplikasi my telkomsel"
"2814","sekarang telkomsel luar biasa mengerti keadaan rakyat menengah kebawah thank telkomsel"
"2815","sangat bagus dan memudah kan"
"2816","biar bintang berbicara"
"2817","mantap pokoknya"
"2818","bagus banget apksinya fiturnya keren tiap minggu ada bonusnya lagisaya sarankan teman jangan ragu untuk download aplikasi nya"
"2819","terimakasih"
"2820","juossssss"
"2821","nice"
"2822","jos"
"2823","oke deh saya senang mengunakan telkomsel"
"2824","lumayan"
"2825","bagus"
"2826","good"
"2827","bagus dan mendapan kota internet"
"2828","top"
"2829","muaaachhh miss telkomsel dari gue lajang sama sampai punya anak telkomsel gue selalu di hati gue enggak pernah ganti nomer hp tahun lebih biar orang bawel bilang mahal lah gue mah selalu setia sudah cinta mati sama mbak telkomsel "
"2830","saya butuh paket yang murah"
"2831","pokoknya is the best lebih gampang lebih cepat"
"2832","oke deh mantap"
"2833","njce"
"2834","baik sekali"
"2835","good"
"2836","super jempol"
"2837","telkomsel mantap"
"2838","mantap"
"2839","dari dulu baru pertama bisa memakai hp sudah memakai kartu simpati rp akhir akhir ini simpati sinyal nya suka kalah dengan provider yang lain dulu paling hebring makanya saya memakai simpati terus walau kadang agak berat di kantong paketan nya"
"2840","sangat jelek sekali percuma donlwad kalo aplikasi my telkomsel"
"2841","baik"
"2842","mantap bro"
"2843","the best"
"2844","sinyal paling joss dimana ada"
"2845","good"
"2846","joooooossssinyalnya"
"2847","sardiyono"
"2848","telkomsel kerendari dulu sampai sekarang saya selalu setia menggunakan kartu telkomsel "
"2849","mantap cuman mahal doang"
"2850","turunin harga paket"
"2851","kasih paket yang murah dong lagi gakdah duit oke"
"2852","sinyal sangat kuat broo"
"2853","sangat puas sekali"
"2854","kualitas jaringan terbaik"
"2855","bagus"
"2856","mantap"
"2857","good my telkomsel"
"2858","good"
"2859","mantap"
"2860","bagus sekali saya dapat banyak bonus kuota"
"2861","bagus sangat membantu "
"2862","diperkuat sinyal dan jaringannya dipedesaan"
"2863","mantab"
"2864","sip oke"
"2865","saya menyukai aplikasi mytelkomsel"
"2866","bahus"
"2867","top"
"2868","aplikasi kualitas bagus"
"2869","sangat membantu"
"2870","puas"
"2871","ok"
"2872","sangat membantu"
"2873","telkomsel the best selalu dihati kayak dan selalu yang terdepan"
"2874","mantap"
"2875","mantap "
"2876","akurat cepat"
"2877","mudah kakak"
"2878","internet gratis nya mana"
"2879","beri dong layanan paket murah tapi besar kuota gb nya"
"2880",""""""
"2881","murah banget"
"2882","saya "
"2883","satisfacted"
"2884","alhamdulillah mempermudah dalam proses pembelian kuota internet"
"2885","sangat puas"
"2886","giud"
"2887","bagus apk nya banyak promonya"
"2888","aplikasinya sangat bagus"
"2889","good"
"2890","okk"
"2891","memuaskan"
"2892","moga menang undi poin"
"2893","mantap"
"2894","apk sagan bagus"
"2895","good"
"2896","mantullllllllllllllllll"
"2897","ok"
"2898","mantap"
"2899","lebih di murahin dikit"
"2900","sangat baik"
"2901","sangat bermanfaat"
"2902","sanagtttttt bagus"
"2903","nice"
"2904","benar sangat membantu dan senang sekali"
"2905","sangat membantu sekali pokok nya tambah top lah my telkomsel"
"2906","sangat baik"
"2907","mantap"
"2908","ya apk ini bagus"
"2909","saya sudah lama pakaikartu telkomselsudahcocok"
"2910","mantap"
"2911","mantab"
"2912","sangat membantu"
"2913","mantap"
"2914","apk yang bagus"
"2915","bagus"
"2916","good"
"2917","ok"
"2918","good"
"2919","oke lor"
"2920","aduh"
"2921","okee"
"2922",""""""
"2923","msntap"
"2924","mantap"
"2925","mantap simpati"
"2926","bagus dan praktis"
"2927","sangat suka"
"2928","ok"
"2929","saya suka telkomsel sejak saya sama sampai sekarang tidak pernah mengecewakan jaringan dan juga mytelkomsel juga membantu baik dari promo data maupun eventevent yang diundi thx"
"2930","aplikasi yang sangat membantu"
"2931","sangat membantu"
"2932","memuaskan"
"2933","ok"
"2934","telkomsel makin kesini makin lemot jaringannya"
"2935",""""""
"2936","nice"
"2937","apk ya jelekkkk"
"2938","hanya telkomsel paling kuat sinyal jaringannya"
"2939","ditingkatkan lagi"
"2940","app ini bagus banget mempermudah kita buat membeli paket"
"2941","bagus"
"2942","keren"
"2943","baik"
"2944","bagus"
"2945","ok"
"2946","nice"
"2947",""""""
"2948","sangat sangat memuas kan "
"2949","apk nya bagus"
"2950","sangat baik"
"2951","baik"
"2952","sangatt membatuuu sekaliii bagus banget"
"2953","like"
"2954","good"
"2955","oke"
"2956","wow"
"2957","excellent"
"2958","ok"
"2959","terima kasih"
"2960","njce"
"2961","toop banget pokoknya"
"2962","sangat membantu"
"2963","lancar coba dong andai perbaikan enggak"
"2964","mantap"
"2965","apk ini sangat membantu"
"2966","aplikasinya bagus "
"2967","bagus"
"2968","pakai my telkomsel jadi mudah mau top up dan beli paket"
"2969","ok"
"2970","terimakasih komunikasi sangat mudah"
"2971","masih okmeski ada kendala dikit wajarlahmungkin untuk kedepannya lebih yahut lagi dan jos meluncur dengan cepat jalannya"
"2972","aplikasi ini sangat bagus sekali saya suka"
"2973","sangat sangat sangat sangat ba ba ba ba ba bagusssssssssssssssssssssssssssssssssssssssssssssssssssssssssss agussssssssssssssssssssssssssssssssss"
"2974","apk nya sangat bagus "
"2975","jadi mudah beli paket"
"2976","semua bisa lebih mudah dengan apk my telkomsel"
"2977","layanannya bagus"
"2978","muantappooooollllo"
"2979","lebih murah dan ceat"
"2980","naice"
"2981","pliss jangan telwponn aku aaaa"
"2982","good"
"2983","sangat memuaskan terima kasih my telkomsel"
"2984","telkomsel terbaik"
"2985","bagus sangat bermanfaat"
"2986","mantap"
"2987","bagus"
"2988","sangat membantu"
"2989","bagus selalu beli paket dan buat undian tapi belum pernah dapat hadiah undian semoga saja pernah"
"2990","ok banget dan sangat terbantu"
"2991","bagus"
"2992","bagus"
"2993","good"
"2994","sangat membantu"
"2995","mantap"
"2996","mantap aplikasinyatolong di kasih murah lagi paket datanya"
"2997","masih menjelajah karena saya pemakai simpati halo yang baru mohon apk yang tersedia lebih canggih dan komplit lagi"
"2998","banyak paket murah dan lebih detqi deskripsinya"
"2999","mantap"
"3000","sangatt membantu"
"3001","keren"
"3002","bintang "
"3003","mantap"
"3004","munculkan paket unlimited telkomsel minkalau bisa yang harga kak"
"3005",""""""
"3006","sangat membantu"
"3007","sangat membantu sekalee"
"3008","bagus"
"3009","mudah dan cepat"
"3010","sangat baik"
"3011","sangat puas pakai telkomsel"
"3012","terbaik"
"3013","bagus"
"3014","dari sekian banyak kartu perdana yang saya coba dan saya pakai untuk sekarang telkomsel yang paling lancar nice lah dari pada perdana lainya"
"3015","nice"
"3016","terima kasih my telkomsel"
"3017","kemren"
"3018","mantul"
"3019","semakin jaya"
"3020","tidak bisa dibuka"
"3021","mudah"
"3022","ok"
"3023","bagus banget"
"3024","sangat bagus banyak fitur yang menarik"
"3025","terima kasih"
"3026","mantap ada bonus kuota sekarang makin maju telkomsel"
"3027","bagus banget yang tadi nya aku sula beli voucer gb sekarang beli di my telkomsel gb beda jauhkanmurahnya"
"3028","the best"
"3029","selalu bisa dan selalu ada mantsp"
"3030","nice"
"3031","sangat puas"
"3032","ua"
"3033","sangat bagus"
"3034","bagus sih dapat paket walaupun sedikit jadi lah"
"3035","mantab my telkomsel sukses terus kalo bisa tambah terus promo dan hadiahnya"
"3036","semoga sering di kasih promo wkwk"
"3037","terima kasih aplikasi sangat membantu"
"3038","sangat puas"
"3039","aplikasinya bagus banget"
"3040","bagus"
"3041","good"
"3042","ok"
"3043","telkomsel bagusguys"
"3044","sangat bagus"
"3045","sangat membuat diri ku puas"
"3046","mantab"
"3047","sangat membantu"
"3048","selamat berulang tahun telkomseljaya selalusaya pengguna telkomsel sejak tahun "
"3049","bagus apk tapi yang kurang nya cuman di masalah daily loggin sama ngambil kado padahal sinyal nya bagus tapi muter muter kayak enggak ada sinyal jadi sering enggak ke ambil kado nya"
"3050","lumayan bagus sangat membatu"
"3051","sangat bagus"
"3052","telkomsel suka"
"3053","trimakasi"
"3054","apk bagus"
"3055","sangat baik"
"3056","bagus untuk saya bagus juga untuk kamu baik untuk saya baik juga untuk kamu"
"3057","sangat baik dari waktu ke waktu"
"3058","utama kan kepuasan pelanggan tq"
"3059","saya kasih bintang toejoe tapi maaf tolong perbaiki lagi jaringan di wilayah pasir datar indah kecamatan caringin masih kurang normal"
"3060","mantap"
"3061","mantap sesuai dengan kebutuhan"
"3062","please sinyalnya dong min"
"3063","nice"
"3064","mantap"
"3065","mantap"
"3066","kuota gratis woy"
"3067","sangat membantu"
"3068","mantapksjhshsjs"
"3069","ok"
"3070","baik sekali"
"3071","di permurah lagi paket bulanan nya biar lebih oke"
"3072","sangat bermanfaat"
"3073","enggak ribet lmyn murah paketnya"
"3074","telkomsel maling kuota saya sudah beli kuota harga gb malah enggak masuk"
"3075","baik"
"3076","sangat bagus"
"3077","oke banget"
"3078","klaim bonus pulsa "
"3079","sangat puas dengan layanan telkomsel paket data pulsa dll next diperbaiki beberapa bug nya"
"3080","aplikasi ini memang bagus tapi kenapa saya tidak bisa beli kuota telfon"
"3081","sangat mudah digunakan"
"3082","sangar membantu"
"3083","good"
"3084","yikwanakjr"
"3085",""""""
"3086","mantap"
"3087","ya keren lah tapi sayang pertama download tidak ada bonus kota geratis "
"3088","mantap"
"3089","keren"
"3090","nice"
"3091"," jadi mudah untuk beli paket data"
"3092","puas"
"3093","bad"
"3094","sangat membantuapalagi bisa terhubung ke dana"
"3095","bagus"
"3096","kalau dikampungku ini kartu pantej entar staff nya ngeluh dibilang begitu eh kalau mau berjualan dibidang jasa perbaiki sistemnya"
"3097","mntul"
"3098","sangat membantu saya dan keluarga"
"3099","yop"
"3100","sangat baik"
"3101","mantulsangat membantumkch telkomsel"
"3102","its oke"
"3103","terima kasih banget"
"3104","nice"
"3105","mantap"
"3106","bagus"
"3107","bagi penggunaan baru bisa mendapatkan bonus kuota terimakasih"
"3108","telkomsel adalah provider terbaik semoga bisa dapat hadiahnya amin"
"3109","jaringan sangat bagus sesuai ke inginkan rakyat"
"3110","korweot"
"3111","luar biasa"
"3112","bagus"
"3113","josss"
"3114","ok"
"3115","mantap"
"3116","terima kasih lancar benar jaringan nya tapi mahal paket nya terima kasih"
"3117","jaringan terkuat dibumi"
"3118","mantap terjangkau murah"
"3119","provider terbaik"
"3120","mantafff fast respon"
"3121","ok"
"3122","terpaporit bagi ku jangan lupa menantikan undian mytelkomsel"
"3123","bagus"
"3124","sangat baik"
"3125","beli paketan menjadi lebih mudah dan sesekali ada promo"
"3126","ok"
"3127",""""""
"3128","aplikasi bagus"
"3129","sangat memuaskan"
"3130","mantap"
"3131","mantap appl"
"3132","pelayanan di tingkatkan lagi"
"3133","mantap"
"3134","ok"
"3135","semoga mendapat undian nya"
"3136","joz"
"3137","sangat membantu"
"3138","begitulah pokoknya"
"3139","my telkomsel sukses selaluamin yra "
"3140","jossss"
"3141","good"
"3142","telkomsel banyak promo nelpon internet"
"3143","disini bisa dapat paket internet lebih murah"
"3144","top app"
"3145","sangat mudah dan sangat simple unguk membeli paket data apapun jos pokoknya"
"3146","mantap"
"3147","baik"
"3148","enggak"
"3149","sangat puas pakai kartu telkomsel"
"3150","telkomsel mah paling okdi setiap daerah enggak takut kehilangan jaringan walau pun di pedesaan "
"3151","membantu banget pokoknya deh"
"3152","aplikasinya keren jadi enggak ribet buat beli paketan thanks my telkomsel"
"3153","oke"
"3154","jossss sekali tanpa mot lemot"
"3155","kenapa harga paket makin mhal"
"3156","mantap"
"3157","singalnya enggak stabil"
"3158","saya sangat puas dengan layanan mytelkomsel"
"3159","kasih harga lebih murah lagi paket nya"
"3160","sangat memudahkan untuk mendaftar paket data dan layanan sangat puas"
"3161","good"
"3162","mantap"
"3163","punya bahasa enggak sih ini aplikasi jika punya pemeliharaan jaringan bisa email dulu kayak ke custumernya enggak harus bertindak sendiri kan"
"3164","tarbaik"
"3165","sangat membantu"
"3166","telkomsel lebih membanyaki lagi promonya kalo bisa"
"3167","sangat mudah dan cepat"
"3168","ok"
"3169","teima kasih saya lebih mudah berteansaksi"
"3170","promo dong"
"3171","good"
"3172","ok"
"3173","mantap"
"3174","ok"
"3175","oke mantap apl ini sangat membantu"
"3176","good apk"
"3177","mantap"
"3178","puas"
"3179","sangat puas"
"3180","selalu lancar jaya"
"3181","jooooss keren"
"3182","kucuk"
"3183","my telkomsel mantap"
"3184","saya suka jaringan telkomsel karena jaringan telkomsel masuk ke plosok terpencil walaupun jaringanya atau baris tapi buat main apk manapun selalu lancar terimakasih telkomsel"
"3185","thank you telkomsel"
"3186",""""""
"3187","oke"
"3188","mantap deh"
"3189","mantaplah"
"3190","oke banget"
"3191","aplikasi sangat membantu"
"3192","mantap"
"3193","markotop"
"3194","sangat baik"
"3195","sangat membantu"
"3196","keren"
"3197",""""""
"3198","bagus mempermudah pembelian paket internet sekian"
"3199","lebih mudah dan banyak pilihan"
"3200","ok"
"3201","mantap"
"3202","halo min enggak jawab aku kasih rating asli "
"3203","aplikasi yang sangat mudah di gunakan"
"3204","sangat membantu"
"3205","enggak"
"3206","aplikasinya bagus saya mohon untuk diperbaharui karena loadingnya masih lambat terimakasih"
"3207","mantaaaaaaaap"
"3208","beli pulsa paket dan lain tanpa ribet"
"3209","bagus my telkomsel dapat membeli paket data internet"
"3210","mantap dikasih kuota gratis terima kasih telkomsel "
"3211","terimakasih kak aku login di my telkomsel langsung dapat kouta gratis dikit sih tapi lumayan terimakasih kak"
"3212","hoi gelut yuk kontol "
"3213","suka banget pakai kartu ini"
"3214","good"
"3215","baru update dari ke gbaru bisa nikmati dari ganti krtu beli gsebulan enggak habis mau enggak mau dirampok lagibulan brktnya dapat bonus bullshid cuma php malah krt yang sudah digt dari gkegyg dimasalahin emsng krtu ganti bida menempel sdr semakin dipersulit transfer dana dapat paket internet jadi buat yang ngisi paket mencari yang semurah mungkin untuk sebulan pakai habis hadiah dapat tapi enggak bisa diambil wallnya dihub dengan tweett jadi kalo layarnya belum aktif jangan lah kasih hadiah kalo bisa diambil telkom"
"3216","thank you"
"3217","bagus banget jadi tau paket data yang murah "
"3218",""""""
"3219","sangat cepat"
"3220","terbaik"
"3221","terimakasih atas informasinya"
"3222","baik"
"3223","mantap"
"3224","sangat bagus"
"3225","tolong dong harga murah kouta besar"
"3226","mantap deh"
"3227","mantap"
"3228","mantap"
"3229","good"
"3230","ok"
"3231","keren"
"3232","good job"
"3233","oke"
"3234","mantap"
"3235","good luck"
"3236","cukup membantu"
"3237","luar biasa"
"3238","sangat keren"
"3239","sangat puas"
"3240","praktis simpel gampang pakainya sangat membantu jempol "
"3241","sangat membantu"
"3242","sangat bagus apk nya lebih bagus lagi kalo harga paket nya jangan kemahalan"
"3243","mantap"
"3244","wahyu"
"3245","bagus sekaliuntuk membeli paket jadi gampang banget"
"3246","apk mntp"
"3247","sangat membantu banyak promo nya"
"3248","mantap"
"3249","sangant bagus"
"3250","luar biasa"
"3251","good"
"3252","baik"
"3253","bismillah semoga kenyataanaamin"
"3254","sangat baik"
"3255","baik bangetzz"
"3256","mantap sekali"
"3257","mantap"
"3258","apps sangat membantu sekali"
"3259","oke"
"3260","terimakasih my telkomsel"
"3261","apk nya bagus tapi harga kuota nya mahal kalau bisa di kurangi lah harganya"
"3262","puas"
"3263","terima kasih"
"3264","good"
"3265","ok"
"3266",""""""
"3267","enggak"
"3268","mantap"
"3269","bagus sekalitapi jaringan nya perlu di tingkat kan lagi"
"3270","ok"
"3271","semoga semakin maju"
"3272","tambahkan dong min opsi perpanjang masa aktif kuota"
"3273","terimakasih my telkomsel enggak susah susah cari paket murah"
"3274","goodlike"
"3275","puas banget"
"3276","sangat bagus"
"3277","saya sangat benci telkomsel karena jaringan yang lambat cepat habisnya dan pelit lebih baik saya pindah ke kartu xl daripada telkomsel"
"3278","mantap"
"3279","mantap"
"3280","terbaikk"
"3281","mantap"
"3282","mantap"
"3283","apk ini bagus banget"
"3284","aplikasinya bagus"
"3285","keren aplikasinya memudahkan isi ulang kuota dan banyak pilihannyapertahankan promo kuota murahnya ya"
"3286","di tingkatkan lagi biar enggak spam iklannya tak"
"3287","sangat bagus untuk internet"
"3288","sangat bagus dan sangat baik"
"3289","ok"
"3290","mantap"
"3291","terima kasih"
"3292","ok banget"
"3293","bagus bangettidak nyesal"
"3294","kuotanya mantap"
"3295",""""""
"3296","mana katanya kalo donload dpat gb bohong nih telkomsel"
"3297","ok"
"3298","my telkomsel di hp saya tidak bisa di pakai buat transaksisaya sudah meminta bantuan untuk pemulihantapi sampai sekarang enggak ada perubahan"
"3299","jaringan sedikit lemot"
"3300","sangat bagus"
"3301","top"
"3302","mantap"
"3303","mantap"
"3304","sangat cocok"
"3305","good"
"3306","sangat bagus"
"3307","good job"
"3308","paket doang mhl jaringan goib pas sudah ujan"
"3309","sinyal sangat bagusssangat memuaskan dari dulu sampai sekarang terikasih telkomsel"
"3310","sangat bagus"
"3311","keren"
"3312","puas banget"
"3313","aplikasi ini sangat berguna untuk mempermudah membeli paket internet untuk paket internet sendiri aku sangat puas untuk paket hot promo karena harganya yang sangat terjangkau untuk pelajar seperti aku"
"3314","cukup bijak"
"3315","cukup baik sangat membantu"
"3316","hai kak noela hhhe "
"3317","iya"
"3318","baik"
"3319","mantap my telkomsel mempermudah akses"
"3320","mantap"
"3321","pakett gratis"
"3322","sangat bagus"
"3323","bagus lebih cepat dan mudah"
"3324","asiiik"
"3325","mantap"
"3326","biar bintang yang menjawab"
"3327","best product"
"3328","saya suka banget pakai kartu telkomsel"
"3329",""""""
"3330","good"
"3331","sangat baik mudah bertransaksi dan sangat memudahkan pemakaian data"
"3332","baik"
"3333","good"
"3334","sangat bagus"
"3335","baik"
"3336","bintang "
"3337","ok"
"3338","mantab"
"3339","good"
"3340","simpel cepat prosesx"
"3341","bagus"
"3342","wih mantap"
"3343","ok"
"3344","mantap"
"3345","mantap"
"3346","okee"
"3347","good"
"3348","baru coba semoga membantu"
"3349","bagus banget"
"3350","promonay lebih diperbayak lagi"
"3351","mantap"
"3352","good"
"3353","kepepet gue pakai ini apk"
"3354","mantap"
"3355","oke"
"3356","banyak yang mengasih bintang ternyata setelah baca banyak yang protes masalah sinyal mau kritik apk nya apa sinyal mungkin daerahmu yang jelek sinyalnya"
"3357","akhirakhir ini paket pada naik"
"3358","membantu"
"3359","baik"
"3360","mantap betul semua paket ada di sini"
"3361","jaringan nya dipercepat dan harga paket dimurahkan lagi ya intinya telkomsel mancaapp"
"3362","bagus"
"3363","bagus"
"3364","membantu banget min terima kasih"
"3365","mantap undiannya"
"3366","ya bagaimana ya"
"3367","bagus"
"3368","jaringan"
"3369","bagus bwngt"
"3370","sangat memuaskan"
"3371","baik"
"3372","bagus"
"3373","ok banget"
"3374","membantu sekali"
"3375","bagus"
"3376","mantap"
"3377","like this"
"3378","mantap"
"3379","sangat membantu untuk mengecek kuota dan pulsa sambil lihat paket promo"
"3380","sangat membantu pengecekan status juga mudah banyak fitur tapi kenapa tidak ada promo bagi saya"
"3381","apk ini sangat bagussssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssss"
"3382","mantap"
"3383","enak aplikasi nya"
"3384","sangat membantu"
"3385","gooood"
"3386","mantap harganyasinyal ngebut"
"3387","good"
"3388","wahhhhh murah banget beli kuota di sini"
"3389","mantap"
"3390","irit banget"
"3391","aplikasi nya benar benar membantu"
"3392","ok aplikasi sangat membantu"
"3393","baik"
"3394","sangat bagus"
"3395","puas"
"3396","selalu fast respon dan ada saja promo nya wuhuuu"
"3397","bagus banget"
"3398","telkomsel ok"
"3399","sangat bagus buat transaksi telkomsel"
"3400","mantap"
"3401","bagus mudah dipakai dan proses transaksi melalui my telkomsel sangat cepat"
"3402","bagus"
"3403","kasih bintang walaupun harga paketnya naik"
"3404",""""""
"3405","mantap"
"3406","sangat mudah dalam bertransaksi"
"3407","lebih hemat"
"3408","niceee"
"3409","mantaapppp"
"3410","sangat membantu"
"3411","dengan my telkomsel semua jadi lebih mudah"
"3412","good jobs"
"3413","change my mind"
"3414","top"
"3415","baik"
"3416","cakep deh"
"3417","semua bisa di telkomsel"
"3418","sangat membsntu"
"3419","mantap"
"3420","sangat membantu"
"3421","mantafff"
"3422","mytelkomsel sangat mebantu"
"3423","manatp"
"3424","jaringannya sudah diperbaiki"
"3425","buat cek kuota sama pulsa enaklah praktis tinggal klik"
"3426","puas"
"3427","sip"
"3428","good app"
"3429","sangat bagus"
"3430","sangat bagus sekali"
"3431","mantao sekali"
"3432","harus banyak kemudahan gaess"
"3433","bagus"
"3434","sangat memuaskan"
"3435","sangat memuaskan pokok nya enggak menyesal download nya"
"3436",""""""
"3437","bagus sekali kuota saya hemat banget"
"3438","sudah tahun pakai telkomsel "
"3439","telkomsel is the bestmurahgampanglancar dan mantap"
"3440","mantap"
"3441","mantap"
"3442","memudahkan dalam mencari kebutuhan "
"3443","sangat memuaskan"
"3444","aplikasi yang bagus dan memudahkan untuk membeli paket dataada undian juga semoga bisa beruntung"
"3445","baik"
"3446","jaringan lancar aman dan hemat kouta"
"3447","aplikasi yang sangat membantu"
"3448","sangat membantu mengecek pulsa kuota jadi mudah"
"3449","tingkatkan promo penjualan barang dan pls"
"3450","lebih mudah"
"3451","baik"
"3452","bagus"
"3453",""""""
"3454","mantap"
"3455","sangat membantu"
"3456","mantab and ajib deh telkomsel"
"3457","sangat puas"
"3458","mantap"
"3459","baik"
"3460","sangat bagus"
"3461","tolong tambah kouta ketenganya buat aplikasi botoin"
"3462","ok"
"3463","bagus bagus iya"
"3464","bagus"
"3465","aplikasi nya bagus banget"
"3466","suka"
"3467","mantap"
"3468","bagus"
"3469","tingkatkan terus kwalitas jaringan dan terima kasih poin poinnya"
"3470","mudah untuk membeliperbanyak lagi promonyamantap"
"3471","goof"
"3472",""""""
"3473","good"
"3474","sangat puas"
"3475","lancar"
"3476","bagus sekali"
"3477","suka banget"
"3478","terimakasih telkomsel kasih saya kota gratis pengguna baru"
"3479","mantap lah oke"
"3480","apliksi ini sngat bagus"
"3481","ok"
"3482","ok dan mudah"
"3483","bgusss"
"3484","berharap kuota keluarga ada selamanya"
"3485","sangat memudahkan semua keperluan"
"3486","memuaskan"
"3487","good"
"3488","good"
"3489","sangat memuaskan pelanggan khususnya pengguna telkomsel"
