"","x"
"806","oke"
"807","sangat bagus tapi untuk jaringan dan sinyal makin parah dan buruk"
"808","ok"
"809","sangat puas terima kasih"
"810","the best"
"811","mantap pokoknya mah"
"812","makin kesini makin lelet update mulu ngabisin kuota"
"813","mantap"
"814",""""""
"815","mntap"
"816","kencengin internetnya"
"817","manfaat"
"818","pelayanan bagus"
"819","bagus aksesnya"
"820","bagus"
"821","nice"
"822","jooozzz"
"823","cepat"
"824","mantap"
"825","my telkomael amazing"
"826","good"
"827","app bagus menyesal kalo enggak dowload"
"828","oke"
"829","telkomsel the best"
"830","good"
"831","deh bagus sekarang aplikasi nya enggak kayak dulu lagi"
"832","sangat puas dengan layanan telkomsel indonesia bravoo"
"833","aku bisa belli kuota dengan murah"
"834","mantap"
"835","saya merasa terbantu dengan kemudahan my telkomsel"
"836","good"
"837","mantap"
"838","telkomsel dan kredivo sangat membantu semoga kedepan makin sukses"
"839","bagus"
"840","ok"
"841","the best"
"842","cara aktifkan kartu sakti bagaimana bos"
"843","ok"
"844","good "
"845","paketnya banyak pilihan ada hadiah yang menanti dengan cara tingkatkan poin dengan isi pulsa"
"846","cakefcakefmantafjempol"
"847","mantap"
"848","ok"
"849","sagat bagus"
"850","mantap banget josss mytelkomsel"
"851","memuaskan"
"852","ok"
"853","aplikasi sip"
"854","sangat senang"
"855","bagus"
"856","ok"
"857","layanan nya bagus banget alangkah baik nya kalau tersedia paket combo sakti lebih murah harga nya terima kasih sukses selalu my telkomsel"
"858","no komen"
"859","keren"
"860","pekerja"
"861","ok"
"862","lebih cepat dari sebelumnya semoga ada unlimited yang tidak terbagi"
"863",""""""
"864","very good"
"865","sipaling mantap"
"866","keren banget"
"867","is the best"
"868","mantap"
"869","aplikasi yang sangat bagus"
"870","lumayan"
"871","alhamdulillah kouta gratis"
"872","raja larang dek"
"873","bertahun menggunakan telkomsel hebat"
"874","selalu bisa di andalkan "
"875","sangat baik sekali"
"876","like"
"877","mantap"
"878","nice"
"879","layanan di tingkatkan lagi kualitasnya kalau bisa plat merah murah lah dari vendor lain"
"880","mantab"
"881","apk nya bagus"
"882","sangat baik"
